# case_id	case_type	artifact_ref	artifact_sha3_256	first_required_by_baseline	introduced_in_release	introduced_in_corpus_revision	construction	parent_case_id	payload_transcript_kind	payload_origin_ids	credential_id	outcome	expectation_scope	capability_id	condition_id	diagnostic_class	expected_ref	expected_sha3_256
framing-header-len-zero-no-mac	fcr_decrypt	artifacts/fcr/framing-header-len-zero-no-mac.fcr	20d0f35d2165d6434ea8a24785535842dbe1de01382c8bf788038c5baff3b196	0.3.0	0.3.0	1	fabricated	-	none	-	passphrase-main	reject	invariant	-	header_len_zero_without_mac_bytes	truncated	-	-
framing-header-len-zero-with-mac	fcr_decrypt	artifacts/fcr/framing-header-len-zero-with-mac.fcr	5b048d0d59badde0d836bbe30336894e3d59736c6b4cf15bae07540fb08b443b	0.3.0	0.3.0	1	fabricated	-	none	-	passphrase-main	reject	invariant	-	header_len_zero_with_complete_mac_bytes	malformed_header	-	-
header-flags-nonzero	fcr_decrypt	artifacts/fcr/header-flags-nonzero.fcr	ac14929919e8ad50fd7b7d5e5497bf26b0e4cf126caf74ba766c3edf592a2fa8	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	header_flags_nonzero	malformed_header	-	-
header-recipient-count-zero	fcr_decrypt	artifacts/fcr/header-recipient-count-zero.fcr	ae5a9ee71663fab0f2be0ba0fbe2160c9c976ed4c03e3ec401cdc2533c46a6e5	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	recipient_count_zero	recipient_count_out_of_range	-	-
header-recipient-count-above-max	fcr_decrypt	artifacts/fcr/header-recipient-count-above-max.fcr	1ceaa1165dff79d2c7654ebf8d86beac9798a7f48a4d459b9e412d8556313865	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	recipient_count_above_structural_maximum	recipient_count_out_of_range	-	-
header-section-lengths-disagree	fcr_decrypt	artifacts/fcr/header-section-lengths-disagree.fcr	4ec04a5c5ae56ea5f1e512afbe3818e2f26ff6b9b6890ad70d7befcfb9bb3736	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	header_section_lengths_do_not_sum_to_header_len	malformed_header	-	-
header-ext-len-above-structural-max	fcr_decrypt	artifacts/fcr/header-ext-len-above-structural-max.fcr	328e39e44c316f6ad43a655025f6e29d0fe497a5a2f7b82e0194824292e9001c	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	ext_len_above_structural_maximum	extension_region_too_large	-	-
header-mac-tamper-stream-nonce	fcr_decrypt	artifacts/fcr/header-mac-tamper-stream-nonce.fcr	d568451e580454a088430add79438e9ec9a9954d8dc34ca03d9b633629c7c929	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	header_mac_covers_stream_nonce	header_authentication_failed	-	-
header-mac-tamper-tag	fcr_decrypt	artifacts/fcr/header-mac-tamper-tag.fcr	8c7267ee929e02387e6b419807be7e348ed318df8048881f7d8e8268e0967190	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	header_mac_tag_modified	header_authentication_failed	-	-
entry-type-name-len-zero	fcr_decrypt	artifacts/fcr/entry-type-name-len-zero.fcr	062d4622a527b933b00fca5d8d1e776c75a5b083415828602d6a1dcd57e81418	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	entry_type_name_len_zero	malformed_recipient_entry	-	-
entry-body-len-past-region	fcr_decrypt	artifacts/fcr/entry-body-len-past-region.fcr	6df4b66314eba04baec3b5ffadf4033c218bee75e0c01da62393f14c363696b7	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	entry_body_len_runs_past_recipient_region	malformed_recipient_entry	-	-
entry-reserved-flag-set	fcr_decrypt	artifacts/fcr/entry-reserved-flag-set.fcr	373158f9e5657f8da8341e2e6f74574304f61d5ed009a7b8df8258ea59d3271e	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	entry_reserved_flag_bit_nonzero	recipient_flags_reserved	-	-
entry-type-name-malformed	fcr_decrypt	artifacts/fcr/entry-type-name-malformed.fcr	7d9ea53e33f0b5208beecd898fc0843d504f07342677df0e1e947232c25943cc	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	entry_type_name_violates_grammar	malformed_type_name	-	-
recipient-none-supported	fcr_decrypt	artifacts/fcr/recipient-none-supported.fcr	50d5eb2bdbd5d61607edba77b5f9fe69c03a1b8046a2e404ad6a2cf0af438fb3	0.3.0	0.3.0	1	fabricated	-	origins	origin-recipient-none-supported	passphrase-main	reject	invariant	-	no_recipient_of_a_supported_type	no_supported_recipient	-	-
recipient-unknown-critical	fcr_decrypt	artifacts/fcr/recipient-unknown-critical.fcr	92d98b275068bc2cf8694e1e6b1daabbb56564577d3a534e7bd31ce6d7c92f1d	0.3.0	0.3.0	1	fabricated	-	origins	origin-recipient-unknown-critical	private-key-a	reject	capability_relative	recipient_type:test/unknown	critical_recipient_type_unsupported	unknown_critical_recipient	-	-
recipient-unknown-ignorable-skipped	fcr_decrypt	artifacts/fcr/recipient-unknown-ignorable-skipped.fcr	630c9d1506ac3e0219909098947e0f2394ba6623eeda80f6d44a62ede9bb9e5f	0.3.0	0.3.0	1	original	-	origins	origin-recipient-unknown-ignorable	private-key-a	accept	invariant	-	-	-	expected/plaintext/recipient-unknown-ignorable-skipped.bin	d7d7421299084f38ff425954b4906406f99b75f467fceb018f3cad19d66fc8f1
recipient-illegal-mixing	fcr_decrypt	artifacts/fcr/recipient-illegal-mixing.fcr	da1bb0401428cbeb25821ee99c64472d1c375467cb2e0e0b025af0ed53ccc03f	0.3.0	0.3.0	1	fabricated	-	origins	origin-recipient-illegal-mixing	passphrase-main	reject	invariant	-	argon2id_mixed_with_another_recipient	incompatible_recipients	-	-
recipient-step8-length-before-content-argon2id-first	fcr_decrypt	artifacts/fcr/recipient-step8-length-before-content-argon2id-first.fcr	479a3608da8e64d402646e864e5f5d125739425124f05cb5877d238c24de5f49	0.3.0	0.3.0	1	fabricated	-	origins	origin-recipient-step8-length-before-content-argon2id-first	passphrase-main	reject	invariant	-	argon2id_kdf_invalid_and_x25519_body_short_argon2id_first	malformed_recipient_entry	-	-
recipient-step8-length-before-content-x25519-first	fcr_decrypt	artifacts/fcr/recipient-step8-length-before-content-x25519-first.fcr	128890e5ccb01aa8edbb107e3cbf60fb24d4e7afe7db37ca29fd0e2b20ff6cd3	0.3.0	0.3.0	1	fabricated	-	origins	origin-recipient-step8-length-before-content-x25519-first	passphrase-main	reject	invariant	-	argon2id_kdf_invalid_and_x25519_body_short_x25519_first	malformed_recipient_entry	-	-
recipient-step8-order-argon2id-first	fcr_decrypt	artifacts/fcr/recipient-step8-order-argon2id-first.fcr	cab29437509bd4ca1cfd263a4da3b7664eddc5d9aa491b6422a0f8c7e6308424	0.3.0	0.3.0	1	fabricated	-	origins	origin-recipient-step8-order-argon2id-first	passphrase-main	reject	invariant	-	argon2id_kdf_invalid_and_x25519_ephemeral_zero_argon2id_first	invalid_kdf_parameters	-	-
recipient-step8-order-x25519-first	fcr_decrypt	artifacts/fcr/recipient-step8-order-x25519-first.fcr	b1a19cd0f6a43076a315047f18d2faa54d9783cebda22c59d9f2233a939b12f2	0.3.0	0.3.0	1	fabricated	-	origins	origin-recipient-step8-order-x25519-first	passphrase-main	reject	invariant	-	argon2id_kdf_invalid_and_x25519_ephemeral_zero_x25519_first	invalid_kdf_parameters	-	-
argon2id-critical-flag-set	fcr_decrypt	artifacts/fcr/argon2id-critical-flag-set.fcr	bec19fffb97b7c1d539acdefdcce41cd1b375357692a685bf21accf427d7c530	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	argon2id_native_entry_flags_nonzero	malformed_recipient_entry	-	-
argon2id-wrong-passphrase	fcr_decrypt	artifacts/fcr/argon2id-wrong-passphrase.fcr	262a770dc85ef18bcf8e302581d2b558ad42bbce872cb1dacb89bd0c2ea3a9c5	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-wrong	reject	invariant	-	argon2id_wrong_passphrase	recipient_unwrap_failed	-	-
argon2id-tamper-salt	fcr_decrypt	artifacts/fcr/argon2id-tamper-salt.fcr	a1f657440893f61153c6ed0cfd43524a45ac7dc91978d20d1d76b6123d18762f	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	argon2id_salt_modified	recipient_unwrap_failed	-	-
argon2id-tamper-wrap-nonce	fcr_decrypt	artifacts/fcr/argon2id-tamper-wrap-nonce.fcr	d8c01f3f1684a1f50109f6797144265e65d7ffc56c5dfc4055795546ba9cb857	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	argon2id_wrap_nonce_modified	recipient_unwrap_failed	-	-
argon2id-tamper-wrapped-file-key	fcr_decrypt	artifacts/fcr/argon2id-tamper-wrapped-file-key.fcr	418058a575325f7f40e7dfdb37f154a720e1e3f18977937f81ec25eaa3ac8ab5	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	argon2id_wrapped_file_key_modified	recipient_unwrap_failed	-	-
argon2id-tamper-kdf-params	fcr_decrypt	artifacts/fcr/argon2id-tamper-kdf-params.fcr	cd8142a294b55be5fa5cf9c004176d0f41748b2ae1d46962747d859b819dcc23	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	argon2id_kdf_params_modified	recipient_unwrap_failed	-	-
argon2id-body-len-invalid	fcr_decrypt	artifacts/fcr/argon2id-body-len-invalid.fcr	9cce2aadb403d8c401c7744e6626cc99f43863976c6c00a8b78ed2b6511a4a65	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	argon2id_body_length_not_116	malformed_recipient_entry	-	-
argon2id-kdf-lanes-zero	fcr_decrypt	artifacts/fcr/argon2id-kdf-lanes-zero.fcr	77030b11540815f9a2b096006e7c4379e77600676be1a3a73e019b4602ed5377	0.3.0	0.3.0	1	fabricated	-	origins	origin-argon2id-kdf-lanes-zero	passphrase-main	reject	invariant	-	argon2id_lanes_below_structural_minimum	invalid_kdf_parameters	-	-
argon2id-kdf-time-above-max	fcr_decrypt	artifacts/fcr/argon2id-kdf-time-above-max.fcr	324efe6b04b8d7664775e359bb60d86a8b558851d95bf4340d3fe55b8571f75d	0.3.0	0.3.0	1	fabricated	-	origins	origin-argon2id-kdf-time-above-max	passphrase-main	reject	invariant	-	argon2id_time_cost_above_structural_maximum	invalid_kdf_parameters	-	-
argon2id-kdf-memory-above-max	fcr_decrypt	artifacts/fcr/argon2id-kdf-memory-above-max.fcr	70f401e45f8bf66a5a3108dacab5d592e25c6a4d3f36f73de6aa14166a304e55	0.3.0	0.3.0	1	fabricated	-	origins	origin-argon2id-kdf-memory-above-max	passphrase-main	reject	invariant	-	argon2id_memory_cost_above_structural_maximum	invalid_kdf_parameters	-	-
argon2id-kdf-work-over-local-cap	fcr_decrypt	artifacts/fcr/argon2id-kdf-work-over-local-cap.fcr	8fa7ce3e3eb690ee3866ef1b1f3ce55a9326fdf0e03bdcc51e92404dc32a2db5	0.3.0	0.3.0	1	fabricated	-	origins	origin-argon2id-kdf-work-over-local-cap	passphrase-main	reject	invariant	-	argon2id_work_above_default_local_cap	resource_cap_exceeded	-	-
x25519-wrong-private-key	fcr_decrypt	artifacts/fcr/x25519-wrong-private-key.fcr	0e7e478ca586b98ccc17ddb8f8a93b317a171a502b80a041cb20749544f834a7	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-b	reject	invariant	-	x25519_recipient_key_does_not_open_any_slot	recipient_unwrap_failed	-	-
x25519-tamper-ephemeral	fcr_decrypt	artifacts/fcr/x25519-tamper-ephemeral.fcr	ab2df1e8fac0a3f0d22a67e39e1ae34963c70d367b356f688494cc2686b3c3f4	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_ephemeral_modified	recipient_unwrap_failed	-	-
x25519-tamper-wrap-nonce	fcr_decrypt	artifacts/fcr/x25519-tamper-wrap-nonce.fcr	25bfa960f79b5e41aee41286f56fd9f1b452d4606b741c7959d4447ed2a8baa2	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_wrap_nonce_modified	recipient_unwrap_failed	-	-
x25519-tamper-wrapped-file-key	fcr_decrypt	artifacts/fcr/x25519-tamper-wrapped-file-key.fcr	1a8c31b61f17271c29b6ea7c033df6533f5ea315f28dc9f728e8618e40900c26	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_wrapped_file_key_modified	recipient_unwrap_failed	-	-
x25519-ephemeral-all-zero	fcr_decrypt	artifacts/fcr/x25519-ephemeral-all-zero.fcr	d48336c69333e2b510adbe91fbf987f8a26c937f858c62955fff9b33e97705ba	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_ephemeral_all_zero	malformed_recipient_entry	-	-
x25519-ephemeral-noncanonical	fcr_decrypt	artifacts/fcr/x25519-ephemeral-noncanonical.fcr	d5d3c4e755ad207771768f0de3c085e8e49c32be29d33a8468ffc5af7c1387c3	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_ephemeral_not_canonical_encoding	malformed_recipient_entry	-	-
x25519-small-order-ephemeral	fcr_decrypt	artifacts/fcr/x25519-small-order-ephemeral.fcr	285a2eb7f0d92b9568037ea841dfde8e57da23fb79408a049f4b907abbd7c3a0	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_all_zero_shared_secret	malformed_recipient_entry	-	-
x25519-body-len-invalid	fcr_decrypt	artifacts/fcr/x25519-body-len-invalid.fcr	a0ae1d677896d78cb2540b958322ff276c727bd24ca0708ca4dfa48f7f6d1724	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_body_length_not_104	malformed_recipient_entry	-	-
x25519-reserved-flag-set	fcr_decrypt	artifacts/fcr/x25519-reserved-flag-set.fcr	98d20a90aca42d147429e88770e7909f737d6436bcfb8b512fab88150c26f91c	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_reserved_flag_bit_nonzero	recipient_flags_reserved	-	-
x25519-critical-flag-set	fcr_decrypt	artifacts/fcr/x25519-critical-flag-set.fcr	4cc5160b59db7c99054cce39b613552652a6bde01313eba8280bd6d6c99949e7	0.3.0	0.3.0	1	mutation	fcr-x25519-single	origins	origin-x25519-single	private-key-a	reject	invariant	-	x25519_native_entry_flags_nonzero	malformed_recipient_entry	-	-
tlv-unknown-ignorable	fcr_decrypt	artifacts/fcr/tlv-unknown-ignorable.fcr	e71c10e3686bc9f9dedb7b2e99419db1bd46877be8e677c241c6a5d1bfd93488	0.3.0	0.3.0	1	original	-	origins	origin-tlv-unknown-ignorable	passphrase-main	accept	invariant	-	-	-	expected/plaintext/tlv-unknown-ignorable.bin	d7d7421299084f38ff425954b4906406f99b75f467fceb018f3cad19d66fc8f1
tlv-reserved-tag-0000	fcr_decrypt	artifacts/fcr/tlv-reserved-tag-0000.fcr	0bff89653471fc79e8e587cc7b4a3429e8b3ca118a98e51e8107a42ff5626495	0.3.0	0.3.0	1	fabricated	-	origins	origin-tlv-reserved-tag-0000	passphrase-main	reject	invariant	-	tlv_tag_reserved	malformed_tlv	-	-
tlv-reserved-tag-8000	fcr_decrypt	artifacts/fcr/tlv-reserved-tag-8000.fcr	14ffab5208350ef614288dc642005950af44ac1b1165b199b756d2ca5c668fa5	0.3.0	0.3.0	1	fabricated	-	origins	origin-tlv-reserved-tag-8000	passphrase-main	reject	invariant	-	tlv_tag_reserved	malformed_tlv	-	-
tlv-duplicate-tags	fcr_decrypt	artifacts/fcr/tlv-duplicate-tags.fcr	edc451e50d4305e5c7a0e1f7ea57f383e55b56e3144fee88ac29b401651ac3da	0.3.0	0.3.0	1	fabricated	-	origins	origin-tlv-duplicate-tags	passphrase-main	reject	invariant	-	tlv_tags_not_strictly_ascending	malformed_tlv	-	-
tlv-out-of-order-tags	fcr_decrypt	artifacts/fcr/tlv-out-of-order-tags.fcr	8d4979c1ef5f8fb5f5633011814e5d99c92786dfd95e5deabcd9101401bfa182	0.3.0	0.3.0	1	fabricated	-	origins	origin-tlv-out-of-order-tags	passphrase-main	reject	invariant	-	tlv_tags_not_strictly_ascending	malformed_tlv	-	-
tlv-truncated-entry-header	fcr_decrypt	artifacts/fcr/tlv-truncated-entry-header.fcr	d25662c766e7274664eb73153353042777832cbfc105139097d71af579df22b3	0.3.0	0.3.0	1	fabricated	-	origins	origin-tlv-truncated-entry-header	passphrase-main	reject	invariant	-	tlv_entry_header_truncated	malformed_tlv	-	-
tlv-value-runs-past-region	fcr_decrypt	artifacts/fcr/tlv-value-runs-past-region.fcr	a2d4e8e8ef942e8c565694b322fa1fcde8a77ff9ded85f442c8ca3564a56978b	0.3.0	0.3.0	1	fabricated	-	origins	origin-tlv-value-runs-past-region	passphrase-main	reject	invariant	-	tlv_value_runs_past_region	malformed_tlv	-	-
tlv-value-above-cap	fcr_decrypt	artifacts/fcr/tlv-value-above-cap.fcr	0bac9488b854c04eeb5f689770a41232883fd25e0cef4bbd98dc3f8794d4f6bc	0.3.0	0.3.0	1	fabricated	-	origins	origin-tlv-value-above-cap	passphrase-main	reject	invariant	-	tlv_declared_value_above_cap	malformed_tlv	-	-
tlv-unknown-critical	fcr_decrypt	artifacts/fcr/tlv-unknown-critical.fcr	d3a7c835ee1bd11cdb30f44fc86cfa5b6ee8f432a26a8238c078960bb182718e	0.3.0	0.3.0	1	fabricated	-	origins	origin-tlv-unknown-critical	passphrase-main	reject	capability_relative	outer_tlv:0x8001	tlv_critical_tag_unsupported	unknown_critical_tlv	-	-
payload-two-chunk-valid	fcr_decrypt	artifacts/fcr/payload-two-chunk-valid.fcr	019175ea6e41bbf745c308ea09be53c54e05a68e733e83c3bee7731a4ed7943e	0.3.0	0.3.0	1	fabricated	-	origins	origin-payload-two-chunk	passphrase-main	accept	invariant	-	-	-	expected/plaintext/payload-two-chunk-valid.bin	36c7c2f71502932e0d8e47ae98b2f833b517dc7db9b888d7a29dea8b48ec12c9
payload-chunk-tampered	fcr_decrypt	artifacts/fcr/payload-chunk-tampered.fcr	2a8b9f92a7d2210d40797af01cfa508f2d372ef98a4dc6f31b0a243e2d903167	0.3.0	0.3.0	1	mutation	payload-two-chunk-valid	origins	origin-payload-two-chunk	passphrase-main	reject	invariant	-	payload_chunk_ciphertext_modified	payload_authentication_failed	-	-
payload-region-empty	fcr_decrypt	artifacts/fcr/payload-region-empty.fcr	6a2fdc417adb81ff37355965a66466b6fb74c969f7c9b5761973482182fea4b9	0.3.0	0.3.0	1	mutation	payload-two-chunk-valid	origins	origin-payload-two-chunk	passphrase-main	reject	invariant	-	payload_region_carries_no_chunk	payload_truncated	-	-
payload-cut-at-chunk-boundary	fcr_decrypt	artifacts/fcr/payload-cut-at-chunk-boundary.fcr	f17d915e91dfea86bf846c53b871792efa5445acf2b022bbf64da024559f2a5f	0.3.0	0.3.0	1	mutation	payload-two-chunk-valid	origins	origin-payload-two-chunk	passphrase-main	reject	invariant	-	payload_cut_at_chunk_boundary	payload_authentication_failed	-	-
payload-trailing-bytes	fcr_decrypt	artifacts/fcr/payload-trailing-bytes.fcr	8c4a2c5917cdce21883b94813544aa18e6e1a12924c53632b3ea2e78e37601c1	0.3.0	0.3.0	1	mutation	payload-two-chunk-valid	origins	origin-payload-two-chunk	passphrase-main	reject	invariant	-	payload_bytes_appended_after_final_chunk	payload_authentication_failed	-	-
payload-empty-final-after-data	fcr_decrypt	artifacts/fcr/payload-empty-final-after-data.fcr	e6f045d5e1ba16ade972078fe322553b8157df3a5e974dd1e0d19ff7363f0d80	0.3.0	0.3.0	1	fabricated	-	origins	origin-payload-empty-final	passphrase-main	reject	invariant	-	payload_empty_final_chunk_after_data	malformed_payload_stream	-	-
